"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
".5441",30.1139729805967,0.193985875566574,0.477580879157127,0.406184342867612,0.684607157444952,0.810506621225668
"FAM90A17",0,NA,NA,NA,NA,NA
".5442",37.9902855918823,0.291252220580934,0.463738734743301,0.628052389762427,0.529969620566986,0.689227177849991
".5443",0,NA,NA,NA,NA,NA
".5444",0,NA,NA,NA,NA,NA
".5445",19.9338127872812,0.150311014773842,0.614146005184577,0.244748013509699,0.806651548964361,0.890711283963197
"LCEP3",0,NA,NA,NA,NA,NA
".5446",0,NA,NA,NA,NA,NA
"FAM90A23",0.160027815272566,0.817476493946864,4.0804728567969,0.200338667266266,0.841215723376499,NA
".5447",3.73945241513637,-1.23990487298226,1.30331943739352,-0.951343805216256,0.341429876710081,0.510127525561479
"5S_rRNA.4",0,NA,NA,NA,NA,NA
".5448",0.491961052583214,0.795685598409026,4.03539567263369,0.197176600006047,0.843689341630014,NA
".5449",0,NA,NA,NA,NA,NA
".5450",0,NA,NA,NA,NA,NA
".5451",2.98653226687126,0.253310400245297,2.09818935317011,0.120728093421395,0.903906406412358,0.946731531150011
".5452",38.7701175927738,0.206361348210459,0.48531935576071,0.425207331545637,0.670685540074781,0.800550011329413
"FAM90A23.1",0,NA,NA,NA,NA,NA
".5453",0,NA,NA,NA,NA,NA
"FAM90A14",0,NA,NA,NA,NA,NA
"GET1-SH3BGR",6.09803377525174,2.07806078760204,1.56293453244391,1.32958914430833,0.18365367678815,0.323288598713115
".5454",412.114734665349,-0.0767563532476609,0.170349916443915,-0.450580515975373,0.652291911945781,0.78683688966314
".5455",0,NA,NA,NA,NA,NA
".5456",86.0225936548936,0.0882464861752725,0.344698992199753,0.256010281933559,0.797942897994601,0.885334788470437
"FAM90A7",0,NA,NA,NA,NA,NA
".5457",0.330732053439083,-0.137320336576594,4.0804728567969,-0.033653044976848,0.973153822423366,NA
".5458",0,NA,NA,NA,NA,NA
"SCYGR9",0,NA,NA,NA,NA,NA
".5459",63.5527564719169,0.301155860374652,0.348624351618964,0.863840575037644,0.387675474950678,0.557770259039918
".5460",0,NA,NA,NA,NA,NA
".5461",3.41127850732606,-2.17980788666208,1.70895749888791,-1.27551907410253,0.20212557728185,0.34732034820136
".5462",1.37323603858796,-1.78558321638348,2.4565603175864,-0.726863168634849,0.467309781738583,NA
".5463",5.75247714048253,-0.5341787396899,1.54978000690912,-0.344680365799316,0.730334680426476,0.841098954078517
".5464",240.677151326435,-1.15090335070705,0.261480656219431,-4.40148562936614,1.07512190017231e-05,5.61523548158347e-05
"5S_rRNA.5",0,NA,NA,NA,NA,NA
"FAM90A18",0,NA,NA,NA,NA,NA
".5465",879.81088678973,0.426374477571526,0.127839518620251,3.33523218933637,0.000852282035804215,0.00318970544703132
".5466",8.04775567897549,-0.0178833080969889,1.02263304156858,-0.0174875124996532,0.986047694906234,0.991974140697027
"FAM90A8",0.154723207781945,0.817476493946865,4.0804728567969,0.200338667266266,0.841215723376499,NA
".5467",13.7513273298634,-0.200423998768845,0.893886734309547,-0.224216325263688,0.822588981111885,0.900130835131149
".5468",195.059227820823,-0.0213137458521319,0.216865588402064,-0.0982809029739502,0.92170924197922,0.956090416560514
"H2AL1MP",0.803078091859023,1.71599139661431,3.27376339613675,0.524164757489587,0.600163950829337,NA
".5469",0,NA,NA,NA,NA,NA
"FAM90A10",0,NA,NA,NA,NA,NA
"FAM90A7.1",0,NA,NA,NA,NA,NA
".5470",171.996412831663,1.60041027788264,0.278376754092067,5.74908017410584,8.97302641046455e-09,6.922780472516e-08
".5471",0,NA,NA,NA,NA,NA
".5472",0.541665876956343,-2.62641370384114,3.99224547297695,-0.657878810714179,0.510616007338905,NA
".5473",0,NA,NA,NA,NA,NA
"H2AQ1P",0,NA,NA,NA,NA,NA
"NBEAP6",0.517090687548448,-1.06852506013282,3.83819473548815,-0.278392612613731,0.780710989743407,NA
".5474",38.1733979723873,1.67515620221587,0.658723425529505,2.54303420417957,0.0109894470853083,0.0314099093388021
".5475",30.0527689962409,0.282279095957219,0.652602996475762,0.432543364773998,0.665346541782156,0.79639484245872
".5476",0,NA,NA,NA,NA,NA
".5477",58.8180216601362,1.4013240490982,0.392709027668746,3.56835201221866,0.000359233662218221,0.00144838990903538
".5478",0,NA,NA,NA,NA,NA
"FAM246C",0.180555292318781,-1.10607685769562,4.0804728567969,-0.271065853520681,0.78634038363246,NA
".5479",0.160932332548156,0.817476493946864,4.0804728567969,0.200338667266266,0.841215723376499,NA
"ASDURF",5.77894291329852,2.47203375581591,1.27497054315385,1.93889479964057,0.0525141493216595,0.118935074011362
".5480",15.104904849681,0.42610113213514,0.661738749141209,0.643911411698536,0.519632881349488,0.680191540157022
".5481",0.160932332548156,0.817476493946864,4.0804728567969,0.200338667266266,0.841215723376499,NA
".5482",63.237219699186,-1.13382461026225,2.34578816882358,-0.483344841333591,0.628850905935835,0.769106101031476
".5483",0,NA,NA,NA,NA,NA
".5484",2.86202670880812,-5.0300872066305,2.37742030594594,-2.11577531917694,0.0343639211537072,0.0837882788951726
"SPEGNB",0,NA,NA,NA,NA,NA
".5485",89.2023352066669,-0.88391657594585,0.371886071973852,-2.37684775677214,0.0174612933382438,0.0468808784631279
"FAM246A",0,NA,NA,NA,NA,NA
"TMEM217B",1.23778566225556,3.67975272346046,3.66998497961467,1.00266152147762,0.316024201347557,NA
"KYAT1.1",127.175613689914,-0.0712571947691854,0.310913483243222,-0.22918656992898,0.818723910447192,0.897787507131614
".5486",0,NA,NA,NA,NA,NA
".5487",0,NA,NA,NA,NA,NA
".5488",0,NA,NA,NA,NA,NA
".5489",752.242595158611,0.195573493535141,0.135883422443333,1.43927412202692,0.1500728717642,0.275575250366296
"SPADH",0,NA,NA,NA,NA,NA
